item_id,price
1,161.38
2,35.34
3,146.5
4,119.21
5,105.24
6,164.94
7,1044.0
8,98.39
9,10049.1
10,182.82
11,118.64
12,1054.45
13,135.14
14,1079.94
15,139.2
16,2080.54
17,-640.77
18,154.15
19,1086.79
20,10080.0
21,10050.52
22,10063.87
23,10020.99
24,2061.93
25,168.95
26,143.31
27,89.95
28,1037.78
29,1048.93
30,1014.33
31,1040.58
32,1050.16
33,1051.85
34,163.42
35,55.79
36,149.83
37,193.33
38,1050.49
39,171.32
40,1067.1
41,2059.52
42,-662.27
43,1059.83
44,-656.99
45,124.02
46,62.68
47,10101.67
48,158.88
49,148.86
50,2046.18
51,146.23
52,-657.33
53,2082.61
54,177.37
55,119.63
56,-663.88
57,10064.69
58,144.82
59,1086.17
60,1093.98
61,2068.39
62,1080.96
63,160.07
64,115.46
65,1034.46
66,10052.53
67,2077.3
68,78.87
69,1046.18
70,172.34
71,117.07
72,125.79
73,177.63
74,146.71
75,10053.43
76,2067.09
77,1035.42
78,168.55
79,1070.51
80,10082.34
81,-628.51
82,10084.57
83,143.21
84,136.86
85,-620.96
86,1039.97
87,2081.42
88,133.23
89,1045.36
90,-629.56
91,1072.13
92,133.36
93,66.68
94,1127.23
95,90.26
96,29.76
97,120.49
98,158.9
99,1111.98
100,1051.18
101,1047.52
102,187.7
103,10060.19
104,169.91
105,-677.24
106,102.44
107,1058.87
108,10053.18
109,10046.42
110,2053.15
111,1040.5
112,2052.85
113,140.51
114,2044.48
115,65.74
116,-635.03
117,182.16
118,-613.51
119,1098.71
120,140.77
121,1065.81
122,1106.49
123,1087.05
124,158.38
125,1075.95
126,118.95
127,94.22
128,-626.13
129,143.28
130,10062.93
131,84.45
132,1066.8
133,1073.92
134,59.28
135,1097.13
136,1111.21
137,126.93
138,2042.18
139,1047.97
140,73.84
141,10078.08
142,141.95
143,-653.97
144,152.19
145,10059.62
146,62.42
147,-671.88
148,77.66
149,-672.61
150,102.51
151,2063.67
152,157.5
153,45.83
154,10067.56
155,10074.84
156,10056.77
157,31.95
158,185.82
159,178.93
160,1073.64
161,2092.92
162,159.02
163,1087.2
164,-626.82
165,1041.58
166,134.42
167,185.12
168,-648.87
169,1067.87
170,2049.49
171,173.28
172,-625.71
173,141.42
174,10041.05
175,146.62
176,10092.68
177,37.1
