itemId,price
95,161.38
12,35.34
195,146.5
89,119.21
136,105.24
31,164.94
102,1044.0
191,98.39
78,10049.1
152,182.82
100,118.64
158,1054.45
25,135.14
54,1079.94
26,139.2
124,2080.54
63,-640.77
190,154.15
161,1086.79
53,10080.0
189,10050.52
141,10063.87
114,10020.99
117,2061.93
32,168.95
185,143.31
14,89.95
59,1037.78
55,1048.93
116,1014.33
128,1040.58
54,1050.16
63,1051.85
85,163.42
49,55.79
125,149.83
183,193.33
111,1050.49
30,171.32
81,1067.1
13,2059.52
13,-662.27
33,1059.83
199,-656.99
37,124.02
81,62.68
126,10101.67
86,158.88
101,148.86
193,2046.18
94,146.23
147,-657.33
175,2082.61
26,177.37
164,119.63
174,-663.88
145,10064.69
45,144.82
197,1086.17
107,1093.98
14,2068.39
49,1080.96
185,160.07
9,115.46
14,1034.46
3,10052.53
112,2077.3
141,78.87
194,1046.18
49,172.34
139,117.07
122,125.79
168,177.63
103,146.71
147,10053.43
138,2067.09
200,1035.42
101,168.55
139,1070.51
146,10082.34
135,-628.51
173,10084.57
112,143.21
132,136.86
149,-620.96
5,1039.97
86,2081.42
175,133.23
103,1045.36
178,-629.56
97,1072.13
75,133.36
114,66.68
161,1127.23
47,90.26
128,29.76
184,120.49
74,158.9
49,1111.98
151,1051.18
197,1047.52
153,187.7
191,10060.19
189,169.91
2,-677.24
185,102.44
197,1058.87
153,10053.18
7,10046.42
100,2053.15
180,1040.5
118,2052.85
99,140.51
193,2044.48
31,65.74
111,-635.03
67,182.16
50,-613.51
128,1098.71
11,140.77
76,1065.81
38,1106.49
193,1087.05
10,158.38
106,1075.95
183,118.95
112,94.22
183,-626.13
90,143.28
108,10062.93
57,84.45
59,1066.8
46,1073.92
199,59.28
52,1097.13
71,1111.21
108,126.93
143,2042.18
82,1047.97
68,73.84
164,10078.08
149,141.95
44,-653.97
122,152.19
36,10059.62
111,62.42
7,-671.88
101,77.66
116,-672.61
191,102.51
67,2063.67
65,157.5
46,45.83
191,10067.56
61,10074.84
34,10056.77
13,31.95
31,185.82
40,178.93
36,1073.64
98,2092.92
11,159.02
179,1087.2
113,-626.82
147,1041.58
27,134.42
61,185.12
45,-648.87
83,1067.87
181,2049.49
72,173.28
30,-625.71
28,141.42
14,10041.05
88,146.62
160,10092.68
85,37.1
